x,y
-0.7786629538986949,-60.98139686684073
-1.8052688811665618,-59.15879334233138
-2.4673746667987637,-56.8076301554787
-2.7221238267893093,-55.71632162397898
-2.98648819223311,-54.40055090204543
-19.735799600158515,-58.14632585092251
-20.51446499880815,-54.23321762284162
-6.011422537773591,-44.07393980897749
-5.37295077068143,-41.21031415804871
-5.6172846804730865,-39.63951461433431
-6.40876851949719,-32.99672518697794
-6.758044585831868,-29.341864483786004
-6.758044585831868,-1.364440410006451
-14.256305972255062,-1.364440410006451
-20.043422611138197,-1.364440410006451
-25.29540771641772,-2.8833441970865037
-36.89207280644851,-6.242948427524019
-53.47475946360536,-11.069971926218537
-54.96159357555001,-10.645196411690575
-54.81419190143514,-8.02573185614444
-54.40322968834621,-6.548662616440896
-53.62216113772023,-5.216405554788854
-20.959876617606525,12.051467686346866
-21.765778375308628,14.07640389674015
-22.11024928366762,16.730465214183997
-22.23722323010234,18.977442222226696
-22.1070442151832,21.148799348437755
-15.195188123861492,24.395775976753736
-7.946873184204101,18.722412786658065
-6.754841962098392,37.879262107470645
-6.874606032412509,40.79558880459858
-6.751639338364915,45.60893588402253
-6.527329772348049,47.45124997544849
-6.2068901545571045,49.22598603251087
-5.723429654479368,51.40458217177628
-5.050107351527172,53.60248684696367
-4.0531446406137634,56.050994550434794
-3.361400528128987,57.54133825513775
-2.7225247659437293,58.81607454042522
-1.326614761439982,60.431116175713804
2.7577731850195066,58.81607454042522
3.3966489472047643,57.54133825513775
4.087192075789487,56.04978799711009
5.08535577060295,53.60248684696367
5.758678073555145,51.405788955271404
6.242138573632882,49.22598603251087
6.56257758023609,47.45124997544849
6.786882867938809,45.60893588402253
6.909853840300551,40.79438271161471
6.790090381174169,37.879262107470645
6.790090381174169,20.630698629832455
13.942272824306542,15.66529790415154
20.90540267712612,24.398994679861843
22.27127097087193,18.982271197570523
22.155110463445713,16.855967628737968
21.802227778284458,14.079623827423815
21.533459194019393,12.569568404952168
52.37885737649212,-4.035389484375638
54.43967851833354,-6.54785732687609
54.84944444602813,-8.02251069788522
55.00845960389714,-9.70553642651431
54.99684336979819,-11.784371796849504
39.14475555743461,-6.883335312726293
27.50643068898373,-3.510856269856346
20.08187365394745,-1.361219251747231
19.008407963006746,-1.361219251747231
6.793293004907646,-1.361219251747231
6.793293004907646,-29.338653146131232
6.445216088909816,-32.9935101665965
5.652533099548864,-39.636303276679534
5.405795388393893,-41.20106192108234
5.091765907571787,-43.05061318419932
19.37691016193379,-52.27344726084418
20.55291848636835,-57.51559753019568
3.024939235042364,-54.39733956439066
2.7605773143495047,-55.713101693295314
2.505830599109901,-56.804408997219475
1.843722979914493,-59.15436793245161
1.429157394933837,-60.524434321231695
-0.7594374324940678,-60.97817570858152
